"","test_id","gene_id","gene","locus","sample_1","sample_2","status","value_1","value_2","log2.fold_change.","test_stat","p_value","q_value","significant"
"4172","XLOC_004172","XLOC_004172","Atad5","chr11:79902901-79949296","P0","Ad","OK",1.69523,0.352744,-2.26479,-1.82965,0.0068,0.0468792,"yes"
"4244","XLOC_004244","XLOC_004244","Bcas3","chr11:85166668-85645725","P0","Ad","OK",36.9713,13.45,-1.4588,-1.71832,0.00785,0.0512174,"no"
"4315","XLOC_004315","XLOC_004315","Mbtd1","chr11:93747165-93808299","P0","Ad","OK",19.6784,5.36459,-1.87508,-2.7733,5e-05,0.00106929,"yes"
"4327","XLOC_004327","XLOC_004327","Col1a1","chr11:94797537-94814356","P0","Ad","OK",274.263,49.8083,-2.4611,-4.49723,5e-05,0.00106929,"yes"
"4331","XLOC_004331","XLOC_004331","Samd14","chr11:94871192-94887401","P0","Ad","OK",5.26682,1.89173,-1.47723,-2.05071,0.00515,0.0391416,"yes"
"4371","XLOC_004371","XLOC_004371","Skap1","chr11:96325906-96620791","P0","Ad","OK",2.04517,0.119026,-4.10287,-0.90469,0.00625,0.0441561,"yes"
"4373","XLOC_004373","XLOC_004373","Cbx1","chr11:96650440-96669954","P0","Ad","OK",39.7714,20.0598,-0.987427,-1.80077,0.0094,0.0576838,"no"
"4408","XLOC_004408","XLOC_004408","Ppp1r1b","chr11:98209717-98219597","P0","Ad","OK",22.6592,0.725015,-4.96594,-4.00938,5e-05,0.00106929,"yes"
"4412","XLOC_004412","XLOC_004412","Erbb2","chr11:98273783-98300360","P0","Ad","OK",13.0487,3.12395,-2.06246,-1.67108,0.0011,0.0126656,"yes"
"4455","XLOC_004455","XLOC_004455","Fkbp10","chr11:100277010-100303122","P0","Ad","OK",29.9449,10.6058,-1.49746,-1.91931,0.0044,0.0350891,"yes"
"4477","XLOC_004477","XLOC_004477","Aoc3","chr11:101191918-101203252","P0","Ad","OK",8.22167,3.92695,-1.06602,-1.88855,0.0082,0.0526567,"no"
"4496","XLOC_004496","XLOC_004496","Rpl27-ps2","chr11:101800814-101801213","P0","Ad","OK",4.12196,0,-Inf,NA,0.00555,0.0408731,"yes"
"4510","XLOC_004510","XLOC_004510","Fzd2","chr11:102465744-102469372","P0","Ad","OK",12.7839,2.51195,-2.34744,-3.49691,1e-04,0.00193782,"yes"
"4536","XLOC_004536","XLOC_004536","Myl4","chr11:104411976-104457067","P0","Ad","OK",248.466,2.64243,-6.55504,-6.69501,5e-05,0.00106929,"yes"
"4551","XLOC_004551","XLOC_004551","Tanc2","chr11:105451299-105790618","P0","Ad","OK",17.5277,2.353,-2.89706,-1.95409,0.0081,0.0522738,"no"
"4558","XLOC_004558","XLOC_004558","Kcnh6","chr11:105869437-105895863","P0","Ad","OK",4.00015,0.195188,-4.35712,-2.2351,5e-04,0.00709313,"yes"
"4608","XLOC_004608","XLOC_004608","Map2k6","chr11:110260435-110386836","P0","Ad","OK",18.0897,4.9984,-1.85563,-2.87098,5e-05,0.00106929,"yes"
"4614","XLOC_004614","XLOC_004614","Sox9","chr11:112643537-112649074","P0","Ad","OK",5.6688,1.26707,-2.16155,-2.72104,4e-04,0.0059161,"yes"
"4630","XLOC_004630","XLOC_004630","Ttyh2","chr11:114536744-114582291","P0","Ad","OK",6.73045,2.4724,-1.44479,-1.91594,0.0031,0.0274756,"yes"
"4644","XLOC_004644","XLOC_004644","Cdr2l","chr11:115243229-115257446","P0","Ad","OK",5.3692,2.2012,-1.28642,-1.95294,0.0094,0.0576838,"no"
"4703","XLOC_004703","XLOC_004703","Birc5","chr11:117710564-117717069","P0","Ad","OK",19.3011,0.399098,-5.5958,-3.65421,0.0053,0.0398774,"yes"
"4724","XLOC_004724","XLOC_004724","A730011L01Rik","chr11:119352660-119372751","P0","Ad","OK",5.96198,2.32,-1.36167,-1.47043,0.0063,0.0443773,"yes"
"4817","XLOC_004817","XLOC_004817","Pold2","chr11:5772182-5778295","P0","Ad","OK",15.2992,5.19613,-1.55794,-1.99916,0.0016,0.0168432,"yes"
"4818","XLOC_004818","XLOC_004818","Myl7","chr11:5796639-5798785","P0","Ad","OK",219.086,1.17722,-7.53997,-6.4413,0.0023,0.0221194,"yes"
"4869","XLOC_004869","XLOC_004869","Fignl1","chr11:11687433-11708965","P0","Ad","OK",8.00917,0.324917,-4.62351,-2.14375,0.0011,0.0126656,"yes"
"4870","XLOC_004870","XLOC_004870","Ddc","chr11:11714103-11798047","P0","Ad","OK",101.557,5.50871,-4.20443,-6.3833,5e-05,0.00106929,"yes"
"4872","XLOC_004872","XLOC_004872","Grb10","chr11:11830510-11938686","P0","Ad","OK",351.713,36.8335,-3.25531,-3.78061,5e-05,0.00106929,"yes"
"4886","XLOC_004886","XLOC_004886","2810442I21Rik","chr11:16835156-16851285","P0","Ad","OK",1.52364,0,-Inf,NA,5e-05,0.00106929,"yes"
"4902","XLOC_004902","XLOC_004902","Meis1","chr11:18780432-18918961","P0","Ad","OK",36.1875,11.3007,-1.67908,-2.90903,5e-05,0.00106929,"yes"
"4966","XLOC_004966","XLOC_004966","5730522E02Rik","chr11:25502762-26110763","P0","Ad","OK",3.0653,0,-Inf,NA,5e-05,0.00106929,"yes"
"5014","XLOC_005014","XLOC_005014","Gm12110","chr11:32780361-32780940","P0","Ad","OK",2.55073,0,-Inf,NA,0.00555,0.0408731,"yes"
"5018","XLOC_005018","XLOC_005018","Npm1","chr11:33052286-33063206","P0","Ad","OK",103.291,45.8813,-1.17073,-2.01573,0.005,0.038453,"yes"
"5028","XLOC_005028","XLOC_005028","Ccdc99","chr11:34622691-34647143","P0","Ad","OK",3.62152,0.220499,-4.03775,-2.35827,0.00145,0.0156814,"yes"
"5046","XLOC_005046","XLOC_005046","Hmmr","chr11:40514889-40546939","P0","Ad","OK",8.21765,0.251631,-5.02934,-2.84048,5e-05,0.00106929,"yes"
"5057","XLOC_005057","XLOC_005057","Pttg1","chr11:43233751-43239753","P0","Ad","OK",41.0147,3.67531,-3.4802,-3.59712,5e-05,0.00106929,"yes"
"5109","XLOC_005109","XLOC_005109","Cnot6","chr11:49485004-49526225","P0","Ad","OK",27.2582,11.2852,-1.27226,-2.3274,2e-04,0.00339928,"yes"
"5195","XLOC_005195","XLOC_005195","Sparc","chr11:55208001-55233582","P0","Ad","OK",768.19,365.127,-1.07306,-1.91096,0.00905,0.0562387,"no"
"5202","XLOC_005202","XLOC_005202","Fam114a2","chr11:57296491-57332146","P0","Ad","OK",26.3131,14.1274,-0.897282,-1.78999,0.0092,0.0568484,"no"
"5206","XLOC_005206","XLOC_005206","Hand1","chr11:57642206-57646320","P0","Ad","OK",1.86269,0,-Inf,NA,5e-05,0.00106929,"yes"
"5207","XLOC_005207","XLOC_005207","Gm12245","chr11:57762230-57762587","P0","Ad","OK",5.19204,0,-Inf,NA,5e-05,0.00106929,"yes"
"5262","XLOC_005262","XLOC_005262","Pemt","chr11:59784115-59859991","P0","Ad","OK",9.92245,1.81901,-2.44755,-1.75683,7e-04,0.00911344,"yes"
"5286","XLOC_005286","XLOC_005286","Shmt1","chr11:60591026-60625220","P0","Ad","OK",25.5774,3.35776,-2.9293,-1.53679,0.0026,0.0242672,"yes"
"5289","XLOC_005289","XLOC_005289","Gm16515","chr11:60715747-60728252","P0","Ad","OK",9.94777,4.39964,-1.17699,-1.90618,0.00435,0.0348073,"yes"
"5315","XLOC_005315","XLOC_005315","BC046404","chr11:62418385-62462025","P0","Ad","OK",6.96806,2.07713,-1.74617,-1.95726,0.0046,0.0362578,"yes"
"5340","XLOC_005340","XLOC_005340","Gm12295","chr11:65091155-65179300","P0","Ad","OK",23.2341,4.04227,-2.52301,-2.1034,0.00425,0.0342574,"yes"
"5370","XLOC_005370","XLOC_005370","Cntrob","chr11:69112988-69137375","P0","Ad","OK",6.01857,1.57967,-1.9298,-1.5369,0.00075,0.00956334,"yes"
"5372","XLOC_005372","XLOC_005372","Chd3","chr11:69156774-69182928","P0","Ad","OK",33.0918,7.92713,-2.0616,-1.81744,2e-04,0.00339928,"yes"
"5376","XLOC_005376","XLOC_005376","Kdm6b","chr11:69212009-69227177","P0","Ad","OK",19.0664,9.40889,-1.01893,-1.69437,0.00325,0.0283812,"yes"
"5380","XLOC_005380","XLOC_005380","Atp1b2","chr11:69413237-69419444","P0","Ad","OK",21.4927,8.21146,-1.38814,-2.24388,0.001,0.0118199,"yes"
"5382","XLOC_005382","XLOC_005382","Gm12308","chr11:69444425-69444814","P0","Ad","OK",4.2613,0,-Inf,NA,0.00555,0.0408731,"yes"
"5426","XLOC_005426","XLOC_005426","Gm12319","chr11:70468242-70469995","P0","Ad","OK",52.6874,12.8255,-2.03844,-2.25222,0.0061,0.0433544,"yes"
"5456","XLOC_005456","XLOC_005456","Smtnl2","chr11:72202665-72225215","P0","Ad","OK",30.0021,11.0302,-1.44361,-2.33894,0.00055,0.00757606,"yes"
"5518","XLOC_005518","XLOC_005518","Rph3al","chr11:75644500-75751931","P0","Ad","OK",13.4847,2.52176,-2.41883,-2.51129,0.00025,0.00406943,"yes"
"5521","XLOC_005521","XLOC_005521","Nxn","chr11:76070699-76212642","P0","Ad","OK",12.8484,5.07913,-1.33893,-1.92512,0.0049,0.0379917,"yes"
"5543","XLOC_005543","XLOC_005543","Traf4","chr11:77972000-77979091","P0","Ad","OK",10.6168,2.78534,-1.93042,-2.45885,0.00115,0.0131562,"yes"
"5566","XLOC_005566","XLOC_005566","Wsb1","chr11:79052873-79068173","P0","Ad","OK",54.5595,13.8597,-1.97694,-3.33711,5e-05,0.00106929,"yes"
"5603","XLOC_005603","XLOC_005603","Slfn9","chr11:82793130-82805332","P0","Ad","OK",3.96468,0.391113,-3.34155,-3.55097,5e-05,0.00106929,"yes"
"5647","XLOC_005647","XLOC_005647","Brip1","chr11:85871637-86014695","P0","Ad","OK",1.79888,0.342209,-2.39415,-1.414,0.0036,0.0304482,"yes"
"5656","XLOC_005656","XLOC_005656","Ypel2","chr11:86749926-86807209","P0","Ad","OK",14.725,4.8036,-1.61608,-3.0335,5e-05,0.00106929,"yes"
"5661","XLOC_005661","XLOC_005661","Prr11","chr11:86902654-86922210","P0","Ad","OK",3.77802,0.257274,-3.87625,-3.28709,0.00455,0.0359632,"yes"
"5665","XLOC_005665","XLOC_005665","Rad51c","chr11:87190146-87218456","P0","Ad","OK",7.65432,1.1343,-2.75447,-2.55949,0.0016,0.0168432,"yes"
"5716","XLOC_005716","XLOC_005716","Cacna1g","chr11:94269704-94335414","P0","Ad","OK",36.2886,12.8283,-1.50018,-1.62477,0.00225,0.0217857,"yes"
"5748","XLOC_005748","XLOC_005748","Igf2bp1","chr11:95818476-95867254","P0","Ad","OK",6.10155,0.0595605,-6.67868,-0.234496,0.0037,0.0310726,"yes"
"5781","XLOC_005781","XLOC_005781","Pcgf2","chr11:97550136-97561811","P0","Ad","OK",27.5854,7.12913,-1.9521,-2.25724,0.0024,0.0227888,"yes"
"5811","XLOC_005811","XLOC_005811","Top2a","chr11:98854256-98885503","P0","Ad","OK",28.449,0.557522,-5.67321,-2.16522,5e-05,0.00106929,"yes"
"5814","XLOC_005814","XLOC_005814","Smarce1","chr11:99070360-99092331","P0","Ad","OK",52.1022,17.1887,-1.59988,-2.60939,0.00055,0.00757606,"yes"
"5923","XLOC_005923","XLOC_005923","Gm11619","chr11:101214622-101214859","P0","Ad","OK",18.3919,0,-Inf,NA,0.00555,0.0408731,"yes"
"5928","XLOC_005928","XLOC_005928","Brca1","chr11:101350077-101413269","P0","Ad","OK",1.32679,0.0634628,-4.38588,-0.875973,0.001,0.0118199,"yes"
"5962","XLOC_005962","XLOC_005962","Gjc1","chr11:102660892-102681014","P0","Ad","OK",31.6386,10.457,-1.59722,-1.6257,0.00425,0.0342574,"yes"
"5974","XLOC_005974","XLOC_005974","Arhgap27","chr11:103192810-103225965","P0","Ad","OK",100.893,6.33957,-3.99229,-6.29975,5e-05,0.00106929,"yes"
"6001","XLOC_006001","XLOC_006001","Limd2","chr11:106017569-106022472","P0","Ad","OK",8.90656,2.34193,-1.92717,-2.12159,0.00165,0.0171916,"yes"
"6064","XLOC_006064","XLOC_006064","Sdk2","chr11:113637687-113928360","P0","Ad","OK",1.75798,0.243229,-2.85353,-1.12377,0.007,0.0477038,"yes"
"6085","XLOC_006085","XLOC_006085","C630004H02Rik","chr11:115209020-115229070","P0","Ad","OK",2.63715,0.87843,-1.58598,-1.19931,0.00455,0.0359632,"yes"
"6090","XLOC_006090","XLOC_006090","Nt5c","chr11:115336980-115353176","P0","Ad","OK",24.1344,5.47593,-2.13992,-2.07675,0.00385,0.0319927,"yes"
"6091","XLOC_006091","XLOC_006091","Hn1","chr11:115358666-115375701","P0","Ad","OK",112.768,50.0906,-1.17075,-2.20857,0.002,0.0198925,"yes"
"6104","XLOC_006104","XLOC_006104","H3f3b","chr11:115883225-115889276","P0","Ad","OK",128.055,64.7223,-0.984427,-1.97037,0.00385,0.0319927,"yes"
"6117","XLOC_006117","XLOC_006117","Rnf157","chr11:116197666-116274346","P0","Ad","OK",2.70305,0.652605,-2.05031,-1.09188,0.0095,0.057948,"no"
"6152","XLOC_006152","XLOC_006152","Cbx8","chr11:118897618-118902283","P0","Ad","OK",47.0245,2.43824,-4.2695,-2.95078,0.00035,0.00529761,"yes"
"6166","XLOC_006166","XLOC_006166","Azi1","chr11:119925743-119948141","P0","Ad","OK",8.50404,2.12918,-1.99785,-1.81783,0.00085,0.0105458,"yes"
"6189","XLOC_006189","XLOC_006189","Pycr1","chr11:120497025-120505083","P0","Ad","OK",2.95785,0.581656,-2.34631,-1.32761,0.00635,0.0446192,"yes"
"6198","XLOC_006198","XLOC_006198","Fasn","chr11:120667253-120685492","P0","Ad","OK",21.5549,5.48667,-1.97401,-2.52778,5e-05,0.00106929,"yes"
"6199","XLOC_006199","XLOC_006199","Ccdc57","chr11:120687842-120794186","P0","Ad","OK",1.32083,0.301679,-2.13036,-1.49938,0.0076,0.0503239,"no"
"6204","XLOC_006204","XLOC_006204","Gm11774","chr11:120864805-120865098","P0","Ad","OK",6.67508,0,-Inf,NA,0.00575,0.041509,"yes"
"6232","XLOC_006232","XLOC_006232","Dtnb","chr12:3572380-3781796","P0","Ad","OK",7.75953,2.3089,-1.74876,-1.21023,0.00675,0.04667,"yes"
"6300","XLOC_006300","XLOC_006300","5730507C01Rik","chr12:18521543-18540997","P0","Ad","OK",9.67374,1.01645,-3.25053,-2.68003,0.00815,0.0524776,"no"
"6318","XLOC_006318","XLOC_006318","2410018L13Rik","chr12:22990655-23046943","P0","Ad","OK",15.3542,1.68398,-3.18868,-2.88397,2e-04,0.00339928,"yes"
"6325","XLOC_006325","XLOC_006325","Klf11","chr12:25336235-25347639","P0","Ad","OK",24.5846,4.72499,-2.37937,-4.07524,5e-05,0.00106929,"yes"
"6326","XLOC_006326","XLOC_006326","Rrm2","chr12:25393105-25399011","P0","Ad","OK",44.1417,1.30415,-5.08096,-5.60358,5e-05,0.00106929,"yes"
"6336","XLOC_006336","XLOC_006336","Tssc1","chr12:29436692-29552356","P0","Ad","OK",13.0065,4.50351,-1.53011,-2.16824,0.0024,0.0227888,"yes"
"6338","XLOC_006338","XLOC_006338","Pxdn","chr12:30622900-30702523","P0","Ad","OK",53.9188,16.633,-1.69674,-2.63881,5e-05,0.00106929,"yes"
"6347","XLOC_006347","XLOC_006347","Lamb1","chr12:31950098-32014509","P0","Ad","OK",87.1142,28.3155,-1.62132,-2.24255,5e-05,0.00106929,"yes"
"6375","XLOC_006375","XLOC_006375","Ispd","chr12:37107828-37416031","P0","Ad","OK",5.47228,1.80819,-1.5976,-1.99307,0.00665,0.0462029,"yes"
"6403","XLOC_006403","XLOC_006403","G2e3","chr12:52449047-52477973","P0","Ad","OK",7.42786,1.81023,-2.03678,-1.86002,0.00445,0.0353888,"yes"
"6414","XLOC_006414","XLOC_006414","Gm7555","chr12:55529159-55529546","P0","Ad","OK",3.18134,0,-Inf,NA,0.00575,0.041509,"yes"
"6506","XLOC_006506","XLOC_006506","Rhoj","chr12:76409308-76502443","P0","Ad","OK",48.0209,12.9958,-1.88562,-2.50857,0.0012,0.0135755,"yes"
"6547","XLOC_006547","XLOC_006547","Ttc9","chr12:82732355-82765928","P0","Ad","OK",4.74932,0.966357,-2.29709,-2.23385,0.00935,0.0575009,"no"
"6550","XLOC_006550","XLOC_006550","Sipa1l1","chr12:83270406-83552769","P0","Ad","OK",9.07104,3.50682,-1.3711,-2.33231,0.00105,0.0122183,"yes"
"6551","XLOC_006551","XLOC_006551","Rgs6","chr12:83717911-84259755","P0","Ad","OK",11.3496,2.05434,-2.4659,-3.09368,0.00015,0.00273203,"yes"
"6559","XLOC_006559","XLOC_006559","Acot2","chr12:85328810-85334823","P0","Ad","OK",82.2494,42.2486,-0.961102,-1.98879,0.00415,0.0338149,"yes"
"6560","XLOC_006560","XLOC_006560","Acot1","chr12:85350447-85358621","P0","Ad","OK",27.435,6.91557,-1.9881,-3.24201,5e-05,0.00106929,"yes"
"6589","XLOC_006589","XLOC_006589","1700019E19Rik","chr12:87423512-87503408","P0","Ad","OK",56.6671,21.2915,-1.41223,-2.43182,8e-04,0.010048,"yes"
"6620","XLOC_006620","XLOC_006620","Nrxn3","chr12:89961319-91573375","P0","Ad","OK",1.30863,0.0429536,-4.92914,-0.464875,5e-05,0.00106929,"yes"
"6632","XLOC_006632","XLOC_006632","Flrt2","chr12:96930435-97023425","P0","Ad","OK",6.04791,1.92919,-1.64844,-2.51591,0.00055,0.00757606,"yes"
"6701","XLOC_006701","XLOC_006701","Vrk1","chr12:107248472-107315620","P0","Ad","OK",6.87449,2.45226,-1.48714,-2.27135,0.00285,0.0258881,"yes"
"6724","XLOC_006724","XLOC_006724","Meg3,Mir1906-1,Mir770","chr12:110779210-110809936","P0","Ad","OK",73.9937,8.82661,-3.06747,-3.33402,5e-05,0.00106929,"yes"
"6738","XLOC_006738","XLOC_006738","Rian,SNORD113","chr12:110842154-110899919","P0","Ad","OK",29.753,5.28258,-2.49372,-2.33176,5e-05,0.00106929,"yes"
"6848","XLOC_006848","XLOC_006848","Ncapg2","chr12:117643572-117702004","P0","Ad","OK",3.06862,0.468618,-2.71111,-3.23865,5e-05,0.00106929,"yes"
"6853","XLOC_006853","XLOC_006853","Cdca7l","chr12:119042761-119437516","P0","Ad","OK",4.19762,0.103909,-5.33617,-1.21363,0.00505,0.0387539,"yes"
"6901","XLOC_006901","XLOC_006901","Trib2","chr12:15798532-15823683","P0","Ad","OK",31.8545,12.8327,-1.31167,-2.67106,2e-04,0.00339928,"yes"
"6911","XLOC_006911","XLOC_006911","3110053B16Rik","chr12:20879985-20927123","P0","Ad","OK",7.5685,0.345775,-4.4521,-1.81083,0.00685,0.0470871,"yes"
"6913","XLOC_006913","XLOC_006913","Zfp125","chr12:20879985-20927123","P0","Ad","OK",23.2028,2.92756,-2.98653,-2.46132,0.0071,0.048132,"yes"
"6921","XLOC_006921","XLOC_006921","Gm9282","chr12:21993660-22086828","P0","Ad","OK",8.9196,0.770666,-3.5328,-2.79486,0.0098,0.0588951,"no"
"6942","XLOC_006942","XLOC_006942","Id2","chr12:25778665-25780957","P0","Ad","OK",29.703,9.95978,-1.57642,-2.51643,0.00145,0.0156814,"yes"
"6943","XLOC_006943","XLOC_006943","Rnf144a","chr12:26991661-27100121","P0","Ad","OK",15.3923,2.66147,-2.53192,-4.21501,5e-05,0.00106929,"yes"
"6946","XLOC_006946","XLOC_006946","Sox11","chr12:28025561-28027574","P0","Ad","OK",2.13748,0,-Inf,NA,5e-05,0.00106929,"yes"
"7000","XLOC_007000","XLOC_007000","Stxbp6","chr12:45953474-46175480","P0","Ad","OK",30.0717,4.49637,-2.74157,-2.1852,0.00745,0.049747,"yes"
"7060","XLOC_007060","XLOC_007060","Mis18bp1","chr12:66233720-66273591","P0","Ad","OK",3.79668,0.234998,-4.01402,-1.41603,5e-05,0.00106929,"yes"
"7063","XLOC_007063","XLOC_007063","Rpl10l","chr12:67384367-67385388","P0","Ad","OK",3.00303,0,-Inf,NA,5e-05,0.00106929,"yes"
"7140","XLOC_007140","XLOC_007140","Zfp36l1","chr12:81208746-81214000","P0","Ad","OK",70.4802,23.9195,-1.55903,-2.6013,3e-04,0.00470584,"yes"
"7142","XLOC_007142","XLOC_007142","Actn1","chr12:81268528-81361358","P0","Ad","OK",41.0414,12.2175,-1.74813,-3.4026,5e-05,0.00106929,"yes"
"7314","XLOC_007314","XLOC_007314","Bcl11b","chr12:109148612-109241812","P0","Ad","OK",2.80391,0.838477,-1.7416,-2.05478,0.00685,0.0470871,"yes"
"7527","XLOC_007527","XLOC_007527","2810429I04Rik","chr13:3477488-3493644","P0","Ad","OK",3.61067,0.413817,-3.1252,-2.45677,5e-04,0.00709313,"yes"
"7571","XLOC_007571","XLOC_007571","Gli3","chr13:15555067-15821859","P0","Ad","OK",7.85535,0.435253,-4.17375,-2.37968,5e-05,0.00106929,"yes"
"7592","XLOC_007592","XLOC_007592","Elmo1","chr13:20182487-20698397","P0","Ad","OK",13.3043,4.45153,-1.57952,-2.70348,4e-04,0.0059161,"yes"
"7699","XLOC_007699","XLOC_007699","Fam65b","chr13:24674057-24825685","P0","Ad","OK",10.4486,0.840167,-3.63648,-3.04969,5e-05,0.00106929,"yes"
"7789","XLOC_007789","XLOC_007789","Cdyl","chr13:35751730-35965933","P0","Ad","OK",8.18356,3.31628,-1.30316,-2.02019,0.0076,0.0503239,"no"
"7792","XLOC_007792","XLOC_007792","Fars2","chr13:36209279-36629461","P0","Ad","OK",97.2016,35.8116,-1.44056,-2.48328,0.00145,0.0156814,"yes"
"7880","XLOC_007880","XLOC_007880","Cplx2","chr13:54472712-54485278","P0","Ad","OK",4.55653,1.52287,-1.58114,-2.45259,0.00205,0.0202906,"yes"
"7895","XLOC_007895","XLOC_007895","Prelid1","chr13:55423415-55431119","P0","Ad","OK",49.353,24.4189,-1.01514,-1.86886,0.00955,0.0580788,"no"
"8027","XLOC_008027","XLOC_008027","Fam172a","chr13:77847950-78305499","P0","Ad","OK",23.4971,5.92853,-1.98674,-3.53132,5e-05,0.00106929,"yes"
"8040","XLOC_008040","XLOC_008040","Cetn3","chr13:81917771-81936142","P0","Ad","OK",46.5818,22.0063,-1.08185,-1.95046,0.00675,0.04667,"yes"
"8050","XLOC_008050","XLOC_008050","Edil3","chr13:88961076-89462828","P0","Ad","OK",1.65577,0.117794,-3.81316,-1.59315,2e-04,0.00339928,"yes"
"8058","XLOC_008058","XLOC_008058","Ssbp2","chr13:91599887-91925753","P0","Ad","OK",157.98,40.4522,-1.96545,-2.68464,0.0021,0.0206706,"yes"
"8073","XLOC_008073","XLOC_008073","Lhfpl2","chr13:94827750-94965364","P0","Ad","OK",25.5498,1.56225,-4.03162,-3.00693,5e-05,0.00106929,"yes"
"8106","XLOC_008106","XLOC_008106","Serf1","chr13:100877951-100884526","P0","Ad","OK",18.4317,5.43554,-1.7617,-2.02106,0.0051,0.0388861,"yes"
"8125","XLOC_008125","XLOC_008125","Adamts6","chr13:105077952-105284843","P0","Ad","OK",8.22399,0.834965,-3.30005,-4.01383,5e-05,0.00106929,"yes"
"8143","XLOC_008143","XLOC_008143","Plk2","chr13:111185251-111191052","P0","Ad","OK",20.84,7.17197,-1.53892,-2.89927,5e-05,0.00106929,"yes"
"8171","XLOC_008171","XLOC_008171","BC067074","chr13:114107291-114169919","P0","Ad","OK",1.6328,0.261688,-2.64143,-2.06087,0.0017,0.0175967,"yes"
"8173","XLOC_008173","XLOC_008173","Arl15","chr13:114584712-114947669","P0","Ad","OK",30.4573,5.97677,-2.34935,-3.14819,0.00025,0.00406943,"yes"
"8189","XLOC_008189","XLOC_008189","Net1","chr13:3881810-3917466","P0","Ad","OK",12.5263,5.03966,-1.31357,-2.31878,0.0016,0.0168432,"yes"
"8192","XLOC_008192","XLOC_008192","Akr1c18","chr13:4131860-4149900","P0","Ad","OK",2.86295,0,-Inf,NA,5e-05,0.00106929,"yes"
"8205","XLOC_008205","XLOC_008205","Rpl10a-ps2","chr13:8939578-8940223","P0","Ad","OK",1.25286,0,-Inf,NA,0.00575,0.041509,"yes"
"8222","XLOC_008222","XLOC_008222","Gpr137b-ps","chr13:12711350-12742564","P0","Ad","OK",5.45561,0.89594,-2.60627,-2.88969,7e-04,0.00911344,"yes"
"8227","XLOC_008227","XLOC_008227","Gpr137b","chr13:13449889-13485891","P0","Ad","OK",12.3465,4.51283,-1.452,-2.19195,0.00235,0.0224789,"yes"
"8400","XLOC_008400","XLOC_008400","Sox4","chr13:29034916-29045582","P0","Ad","OK",106.052,8.29985,-3.67554,-6.66753,5e-05,0.00106929,"yes"
"8402","XLOC_008402","XLOC_008402","Cdkal1","chr13:29283614-29947543","P0","Ad","OK",36.8068,9.55883,-1.94507,-2.79074,0.00035,0.00529761,"yes"
"8418","XLOC_008418","XLOC_008418","Gmds","chr13:31911447-32430483","P0","Ad","OK",18.4574,3.23921,-2.51049,-3.34141,5e-05,0.00106929,"yes"
"8438","XLOC_008438","XLOC_008438","Tubb2b","chr13:34218876-34222223","P0","Ad","OK",24.0802,1.2583,-4.2583,-5.09921,5e-05,0.00106929,"yes"
"8447","XLOC_008447","XLOC_008447","Lyrm4","chr13:36070665-36209226","P0","Ad","OK",25.1749,8.03218,-1.64812,-2.67758,2e-04,0.00339928,"yes"
"8523","XLOC_008523","XLOC_008523","Ror2","chr13:53204680-53381493","P0","Ad","OK",20.4614,0.591104,-5.11335,-2.81197,5e-05,0.00106929,"yes"
"8549","XLOC_008549","XLOC_008549","Dbn1","chr13:55574788-55589472","P0","Ad","OK",20.2707,5.99038,-1.75867,-2.02644,0.00175,0.0180096,"yes"
"8570","XLOC_008570","XLOC_008570","Hnrnpa0","chr13:58227239-58229917","P0","Ad","OK",147.995,59.618,-1.31172,-2.6999,0.00015,0.00273203,"yes"
"8607","XLOC_008607","XLOC_008607","Gm17352","chr13:62318903-62319329","P0","Ad","OK",3.17375,0,-Inf,NA,0.00015,0.00273203,"yes"
"8615","XLOC_008615","XLOC_008615","Gm5665","chr13:62800765-62828049","P0","Ad","OK",2.13455,0.236272,-3.17541,-2.02978,0.0075,0.0499404,"yes"
"8625","XLOC_008625","XLOC_008625","Slc35d2","chr13:64197617-64230638","P0","Ad","OK",3.13104,0.598114,-2.38815,-1.88637,0.00705,0.0479528,"yes"
"8685","XLOC_008685","XLOC_008685","Nkd2","chr13:73955981-73985079","P0","Ad","OK",3.05954,0.621282,-2.29999,-2.46189,0.00365,0.030798,"yes"
"8686","XLOC_008686","XLOC_008686","Trip13","chr13:74049909-74075215","P0","Ad","OK",4.66017,0.268308,-4.11842,-3.28821,0.0044,0.0350891,"yes"
"8691","XLOC_008691","XLOC_008691","Cep72","chr13:74173942-74199733","P0","Ad","OK",1.90828,0.346735,-2.46037,-2.27512,0.00585,0.0420603,"yes"
"8698","XLOC_008698","XLOC_008698","Zfp825","chr13:74617964-74620391","P0","Ad","OK",25.7623,6.51722,-1.98293,-2.4379,0.0038,0.0317067,"yes"
"8729","XLOC_008729","XLOC_008729","Atg10","chr13:91074953-91363592","P0","Ad","OK",42.7818,17.9612,-1.25211,-2.21926,0.00275,0.0252862,"yes"
"8741","XLOC_008741","XLOC_008741","Thbs4","chr13:93521544-93564773","P0","Ad","OK",5.81447,2.00176,-1.53838,-1.90682,0.0021,0.0206706,"yes"
"8753","XLOC_008753","XLOC_008753","Gm9776","chr13:95125793-95128773","P0","Ad","OK",2.895,0.575021,-2.33188,-2.19252,0.00725,0.0488697,"yes"
"8766","XLOC_008766","XLOC_008766","Hmgcr","chr13:97418921-97440891","P0","Ad","OK",17.1116,3.61903,-2.2413,-2.39612,0.00025,0.00406943,"yes"
